iter	RMSE
0	257760774
1	252125825.7
2	246688338.6
3	241736101.8
4	236842787.2
5	232477542
6	228447912.6
7	224807653.1
8	221192389.3
9	217916499.3
10	214886835.9
11	212379281.9
12	209777015.8
13	207399309.1
14	205426023.7
15	203310384.2
16	201318065.6
17	199268791.6
18	197682530.1
19	196121315.4
20	194694017.1
21	193198384.9
22	191701618.6
23	190379148
24	189241978.4
25	188291173.7
26	187336615.8
27	186368563.1
28	185479583.7
29	184752764.3
30	183860086.3
31	183271049.5
32	182669325.5
33	181931428
34	181303504.7
35	180488717.3
36	179809539.9
37	179245541.5
38	178754020.3
39	178187906.7
40	177665077.9
41	177237250.4
42	176740620.4
43	176261496.3
44	175821858.5
45	175445794.3
46	175072870.8
47	174735232.6
48	174250813.1
49	173907254.5
50	173604149.7
51	173183202.9
52	172858120.6
53	172504874.8
54	172209532.4
55	171934148.7
56	171587147.3
57	171301595.4
58	171086040.1
59	170883295.6
60	170596850.1
61	170303580.5
62	170006979.5
63	169727786.3
64	169529112.1
65	169328882.4
66	169191728.7
67	168998647.3
68	168756067.4
69	168551523.2
70	168279536.1
71	168116170.7
72	167867807.5
73	167681450.1
74	167466191.4
75	167292981.4
76	167134446.9
77	166958640.3
78	166843245.6
79	166762201.7
80	166656547.6
81	166484951.9
82	166358684.9
83	166131286.9
84	166014708.3
85	165906567.7
86	165821563.8
87	165729844.8
88	165570924.9
89	165463816.9
90	165340282.7
91	165258051.6
92	165134240.2
93	164996027.5
94	164912641.9
95	164760686.3
96	164695998.2
97	164508084.5
98	164303530.4
99	164187440.7
100	164105228.2
101	164004469.9
102	163893777.7
103	163728788.7
104	163664130.7
105	163531280.4
106	163483977.3
107	163349310.4
108	163235050.4
109	163185211.6
110	163065604.1
111	163036473.7
112	162932714.8
113	162792438.6
114	162751725.8
115	162709555.3
116	162603925.1
117	162525680.1
118	162439440.7
119	162305555.3
120	162236367.2
121	162105110.2
122	162052621.4
123	161957171.5
124	161856458.2
125	161730436.5
126	161681094.4
127	161612606.1
128	161561313.5
129	161514063.6
130	161466616.6
131	161416644.1
132	161365722.6
133	161290115.7
134	161180142.6
135	161119359.1
136	161086000.8
137	161061953.4
138	160996779
139	160932005
140	160807240.1
141	160750436.2
142	160689244.1
143	160562973.6
144	160489311
145	160392843.7
146	160349927.9
147	160290397.2
148	160255686.7
149	160186945.5
150	160132410
151	160097592.6
152	160021176.9
153	159980063
154	159949161
155	159942584.4
156	159894636.1
157	159856034.2
158	159844946.7
159	159786875.2
160	159766664.8
161	159663566
162	159609284.2
163	159509271.1
164	159492002.5
165	159407867.4
166	159279716.6
167	159242611.7
168	159115816.9
169	159090595
170	159073431.4
171	159012107.5
172	158883255.6
173	158848693.2
174	158824602.3
175	158696901.4
176	158688562.7
177	158634732
178	158606701.4
179	158547551.6
180	158419711.2
181	158314846.9
182	158232580.4
183	158221524.1
184	158209085
185	158063450.2
186	158048377.1
187	157981390.9
188	157957338.7
189	157933660.7
190	157886469.8
191	157803847.2
192	157677902.4
193	157594411.8
194	157540075.6
195	157497849.5
196	157474698.7
197	157457398.9
198	157368714.3
199	157331141.9
200	157250397.7
201	157221799.2
202	157201050.3
203	157188944.6
204	157120809.3
205	157099155.1
206	157054855.2
207	157025147.1
208	156955133.9
209	156942813.5
210	156919088.3
211	156863291.1
212	156843566.3
213	156781353.1
214	156751215.4
215	156595571.9
216	156568711.5
217	156557554.8
218	156439316.7
219	156360859.5
220	156347235.6
221	156338033.8
222	156311820.4
223	156137230.4
224	155996731.3
225	155980816.5
226	155969203.3
227	155952978
228	155933109
229	155921660.1
230	155909038.2
231	155900704.2
232	155801252.7
233	155647611
234	155630777.5
235	155617345
236	155606727.9
237	155493899.8
238	155471509.2
239	155340656.1
240	155196717.7
241	155186985
242	155179317.3
243	155031423.3
244	155023934.9
245	154991553.9
246	154919796
247	154798686.1
248	154695777.1
249	154678685.5
250	154669981.7
251	154551055.3
252	154540662.7
253	154533587.7
254	154526682.4
255	154509373.6
256	154493399.3
257	154486635.7
258	154478774.8
259	154446825
260	154435466.9
261	154429073.1
262	154296958
263	154170873.5
264	154073279.9
265	154001307.9
266	153917138.7
267	153905398.1
268	153890830
269	153740718.1
270	153727544.4
271	153716526.1
272	153691139.1
273	153684306.4
274	153621261.3
275	153539351.4
276	153531441.2
277	153480577.6
278	153474646
279	153355808.9
280	153345788.7
281	153298255.3
282	153228762.6
283	153219194.1
284	153208598.8
285	153131790.1
286	153107054.4
287	153034418.9
288	153020620
289	152968318.7
290	152883955.2
291	152819825
292	152812568.7
293	152740237.1
294	152655744.2
295	152642776.1
296	152637252.1
297	152628873
298	152570126.7
299	152558147
300	152479140
301	152465489.9
302	152458602.9
303	152334012.8
304	152279835.9
305	152181579.2
306	152091045.3
307	152070644.2
308	152005085.3
309	151919026.8
310	151912598.2
311	151850947.5
312	151793960.5
313	151703980.9
314	151697637.3
315	151625856.3
316	151619777.6
317	151612737.3
318	151587771.6
319	151516839.5
320	151459518.9
321	151454659.9
322	151375241.3
323	151310524.6
324	151213585.1
325	151203037.3
326	151127680.6
327	151102872.9
328	151036676.6
329	151002625.7
330	150969270.7
331	150963493.7
332	150917208.4
333	150877292
334	150871655.3
335	150736319.9
336	150675943.9
337	150617410.1
338	150611958.7
339	150572547.2
340	150492259.2
