iter	Passed	Remaining
0	3	3496
1	6	3063
2	8	2852
3	10	2724
4	13	2621
5	15	2581
6	18	2560
7	20	2597
8	23	2557
9	25	2526
10	27	2489
11	29	2460
12	32	2463
13	35	2468
14	38	2558
15	41	2522
16	43	2497
17	45	2477
18	47	2476
19	50	2476
20	53	2472
21	55	2455
22	57	2438
23	59	2423
24	61	2409
25	64	2407
26	66	2392
27	68	2384
28	70	2373
29	73	2362
30	75	2349
31	77	2339
32	79	2334
33	81	2326
34	84	2338
35	86	2327
36	89	2321
37	91	2318
38	93	2312
39	96	2307
40	99	2322
41	102	2327
42	104	2322
43	106	2316
44	108	2313
45	111	2311
46	113	2297
47	116	2307
48	118	2306
49	121	2301
50	123	2295
51	125	2289
52	127	2283
53	130	2281
54	133	2288
55	135	2285
56	138	2284
57	140	2278
58	142	2274
59	144	2271
60	147	2272
61	151	2291
62	154	2290
63	156	2286
64	158	2281
65	160	2274
66	163	2271
67	165	2264
68	167	2258
69	169	2251
70	171	2245
71	173	2241
72	176	2237
73	178	2236
74	181	2236
75	183	2231
76	185	2227
77	188	2222
78	190	2219
79	193	2219
80	196	2226
81	198	2225
82	200	2220
83	203	2215
84	205	2212
85	207	2207
86	210	2204
87	212	2206
88	215	2202
89	217	2197
90	219	2194
91	222	2194
92	225	2194
93	228	2202
94	230	2197
95	232	2193
96	234	2178
97	236	2173
98	238	2168
99	240	2164
100	243	2164
101	247	2174
102	249	2171
103	251	2166
104	253	2163
105	255	2159
106	258	2158
107	260	2154
108	263	2150
109	265	2146
110	267	2142
111	269	2138
112	272	2135
113	274	2136
114	277	2136
115	279	2133
116	282	2130
117	284	2127
118	286	2123
119	289	2122
120	292	2126
121	295	2124
122	297	2120
123	299	2117
124	301	2113
125	304	2110
126	306	2109
127	309	2109
128	311	2106
129	314	2103
130	316	2100
131	318	2097
132	321	2093
133	324	2096
134	326	2093
135	328	2089
136	331	2086
137	333	2082
138	335	2080
139	337	2075
140	340	2075
141	343	2077
142	346	2074
143	348	2071
144	350	2067
145	352	2064
146	355	2062
147	357	2058
148	359	2055
149	362	2052
150	364	2049
151	366	2046
152	369	2043
153	371	2042
154	374	2039
155	376	2036
156	378	2033
157	381	2031
158	383	2027
159	385	2023
160	388	2026
161	391	2023
162	393	2020
163	395	2017
164	398	2015
165	400	2012
166	403	2011
167	405	2009
168	407	2005
169	410	2002
170	412	1998
171	414	1995
